route_name,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seats_available
Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:50,07h 00m,05:50,4.7,724,28
Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),21:50,06h 55m,04:45,4.7,669,27
Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,06h 55m,05:40,4.6,759,5
Vijayawada to Hyderabad,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:10,07h 20m,05:30,3.7,611,8
Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),23:25,07h 00m,06:25,4.6,749,24
Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),23:55,06h 55m,06:50,4.6,739,19
Vijayawada to Hyderabad,IntrCity SmartBus,AC Sleeper (2+1),23:45,06h 45m,06:30,4.7,919,5
Vijayawada to Hyderabad,AdIntrCity SmartBus,AC Sleeper (2+1),23:45,06h 15m,06:00,4.5,1479,6
Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),17:30,07h 35m,01:05,4.6,294,5
Vijayawada to Hyderabad,Sri Durga Malleswari Travels,A/C Sleeper (2+1),22:30,07h 15m,05:45,4.4,720,3
Bangalore to Tirupati,Navayuga Travels,NON AC Seater / Sleeper 2+1,16:35,04h 40m,21:15,4.7,440,5
Bangalore to Tirupati,Navayuga Travels,A/C Sleeper (2+1),16:35,04h 40m,21:15,3.8,550,12
Bangalore to Tirupati,Shyamoli Paribahan Pvt Ltd,Bharat Benz A/C Seater /Sleeper (2+1),16:40,04h 20m,21:00,4.2,500,8
Bangalore to Tirupati,AdHYBUS,Bharat Benz A/C Sleeper (2+1),22:30,05h 50m,04:20,4.4,558,30
Bangalore to Tirupati,HYBUS,Bharat Benz A/C Sleeper (2+1),16:45,02h 45m,19:30,4.7,539,29
Bangalore to Tirupati,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),16:49,04h 50m,21:39,3.8,100,28
Bangalore to Tirupati,Svkdt travels,A/C Sleeper (2+1),17:00,05h 30m,22:30,3.1,495,21
Bangalore to Tirupati,AdHYBUS,Bharat Benz A/C Sleeper (2+1),21:55,06h 20m,04:15,4.5,824,27
Bangalore to Tirupati,Rajeswari Travels,A/C Seater / Sleeper (2+1),21:00,07h 00m,04:00,3.8,349,25
Bangalore to Tirupati,RCV Travels,A/C Seater / Sleeper (2+1),21:00,07h 40m,04:40,4.5,350,23
Bangalore to Kadapa,Shiva Parvathi Tours And Travels,Non A/C Seater / Sleeper (2+1),19:00,07h 30m,02:30,3.0,400,23
Bangalore to Kadapa,BHAIRAVA TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,07h 45m,03:00,3.9,399,39
Bangalore to Kadapa,S R Travels,Non A/C Seater / Sleeper (2+1),19:15,08h 00m,03:15,3.0,450,31
Bangalore to Kadapa,AdAR & BCVR Travels,Non A/C Seater / Sleeper (2+1),21:00,07h 00m,04:00,4.3,400,30
Bangalore to Kadapa,Royal Voyage Travels (RVT),A/C Seater / Sleeper (2+1),19:20,08h 05m,03:25,3.7,500,29
Bangalore to Kadapa,Giridhar Tours and Travels,A/C Seater/Sleeper (2+1),19:24,07h 51m,03:15,4.5,640,27
Bangalore to Kadapa,Giridhar Tours and Travels,Non A/C Seater / Sleeper (2+1),19:30,07h 29m,02:59,4.5,600,12
Bangalore to Kadapa,AdAR & BCVR Travels,Non A/C Seater / Sleeper (2+1),21:30,06h 30m,04:00,4.4,450,36
Bangalore to Kadapa,Amara Tours And Travels,A/C Seater / Sleeper (2+1),19:30,07h 30m,03:00,4.4,449,23
Bangalore to Kadapa,Royal Voyage Travels,Non A/C Seater / Sleeper (2+1),19:30,07h 55m,03:25,3.7,500,22
Kakinada to Visakhapatnam,APSRTC - 23527,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:45,04h 30m,22:15,3.8,281,34
